cluster,n_provinces,mean_hdd,min_hdd,max_hdd,interpretation,provinces
1,30,13.454,0.0,35.8,Transition / intermediate heating profile,"Adana, Afyonkarahisar, Amasya, Ankara, Antalya, Cankiri, Corum, Giresun, Hatay, Mersin, Kastamonu, Kayseri, Kirsehir, Konya, Kahramanmaras, Nevsehir, Nigde, Ordu, Rize, Samsun, Sinop, Sivas, Tokat, Trabzon, Yozgat, Aksaray, Karaman, Kirikkale, Karabuk, Osmaniye"
2,26,16.94,0.0,40.5,Cold continental / eastern highland profile,"Adiyaman, Agri, Artvin, Bingol, Bitlis, Diyarbakir, Elazig, Erzincan, Erzurum, Gaziantep, Gumushane, Hakkari, Kars, Malatya, Mardin, Mus, Siirt, Tunceli, Sanliurfa, Van, Bayburt, Batman, Sirnak, Kilis, Ardahan, Igdir"
3,25,11.347,0.0,30.7,Milder western and coastal profile,"Aydin, Balikesir, Bilecik, Bolu, Burdur, Bursa, Canakkale, Denizli, Edirne, Eskisehir, Isparta, Istanbul, Izmir, Kirklareli, Kocaeli, Kutahya, Manisa, Mugla, Sakarya, Tekirdag, Usak, Zonguldak, Yalova, Duzce, Bartin"
